TC ID,대상,케이스 ID,시나리오,스텝,기법,Given,When,Then,비고,상태
,,UI-11,로그인 실패 - 존재하지 않는 아이디,0. [설정] 탭 클릭 1. [계정 연동] 메뉴 클릭 2. 존재하지 않는 이메일 / 비밀번호 입력 3. [로그인] 버튼 클릭 4. 에러 메시지 확인 이메일 또는 비밀번호가 맞지 않아요.,에러 기대,가입된 테스트 계정 존재 서버 연결,가입된 적 없는 이메일로 로그인 시도,에러메시지 표시 메인 페이지 이동 없음,,실행 대기
,,UI-12,로그인 실패 - 잘못된 비밀번호,0. [설정] 탭 클릭 1. [계정 연동] 메뉴 클릭 2. 이메일 / 잘못된 비밀번호 입력 3. [로그인] 버튼 클릭 4. 에러 메시지 확인 이메일 또는 비밀번호가 맞지 않아요.,에러 기대,가입된 테스트 계정 존재 서버 연결,올바른 이메일과 잘못된 비밀번호로 로그인 시도,에러메시지 표시 메인 페이지 이동 없음,,실행 대기
TC4,프로젝트 추가,UI-13,프로젝트 추가 - 오른쪽 상단 위 [+] 버튼,"0. [내 뜨개] 탭 클릭 1. 화면 오른쪽 상단 [+] 버튼 클릭 2. [프로젝트 추가] 시트 표시 확인 3. 아무것도 입력하지 않은 상태에서 [프로젝트 저장] 버튼 비활성화 확인 4. 이름에 공백만 입력 후 (""   "") [프로젝트 저장] 버튼 비활성화 확인 5. 프로젝트 이름 입력 6. [프로젝트 저장] 버튼 활성화 확인 및 클릭 7. [나의 뜨개] 페이지에서 프로젝트 추가된 것 확인",시나리오 에러 기대 경계값,온보딩 완료,상단 [+] 버튼으로 추가 폼을 열어 미입력과 공백 입력을 거친 뒤 정상 이름으로 저장,미입력과 공백에서는 저장 버튼 비활성 정상 이름 입력 시 저장되고 목록에서 표시,,실행 대기
,,UI-14,프로젝트 추가 - 프로젝트 0개인 상태에서 [+ 추가] 버튼,0. [내 뜨개] 탭 클릭 1. 화면 가운데 [+ 추가] 버튼 클릭 2. [프로젝트 추가] 시트 표시 확인 3. 아무것도 입력하지 않은 상태에서 [프로젝트 저장] 버튼 비활성화 확인 4. 프로젝트 이름 입력 5. [프로젝트 저장] 버튼 활성화 확인 및 클릭 6. [나의 뜨개] 페이지에서 프로젝트 추가된 것 확인,시나리오,온보딩 완료 프로젝트 0개,화면 가운데 [+ 추가] 버튼으로 폼을 열어 이름 입력 후 저장,"추가 폼이 열리고, 저장한 프로젝트가 목록에 표시",,실행 대기
,,UI-15,프로젝트 추가 - 연속 추가 (5개),"0. [내 뜨개] 탭 클릭 1. 상단 [+] 버튼으로 프로젝트 생성 (이름 A) 2. 같은 방법으로 프로젝트 생성 (이름 B) 3. 같은 방법으로 프로젝트 생성 (이름 C) 4. 같은 방법으로 프로젝트 생성 (이름 D) 5. 같은 방법으로 프로젝트 생성 (이름 E) 6. 목록에 A, B, C, D, E가 각자의 이름으로 표시되는지 확인 7. 목록의 프로젝트 개수 표시가 5개로 맞는지 확인",시나리오,온보딩 완료 프로젝트 0개,서로 다른 이름으로 5개 연달아 생성,다섯 개 모두 각자 이름으로 목록에 표시되고 개수 표시가 정확,,실행 대기
,,UI-16,프로젝트 추가 - 중복 이름 생성 (명세 공백 관찰),0. [내 뜨개] 탭 클릭 1. 상단 [+] 버튼으로 프로젝트 생성 (이름 A) 2. 같은 방법으로 동일한 이름 A로 한 번 더 생성 3. 목록에 같은 이름 2개가 별개 항목으로 표시되는지 확인,시나리오,프로젝트 0개,같은 이름으로 프로젝트를 2회 생성,같은 이름 2개가 별개 항목으로 모두 생성됨,,실행 대기
,,UI-17,프로젝트 이름 길이 상한 - 경계값,"0. [내 뜨개] 탭 클릭 1. 상단 [+] 버튼으로 추가 폼 열기 2. 이름에 1자 입력, 저장 버튼 활성화와 카운터 1/30 표시 확인 3. 이름에 29자까지 입력, 카운터 29/30 표시 확인 4. 1자 추가 입력 (30자), 카운터 30/30 표시 확인 5. 1자 더 입력 시도, 입력이 무시되어 필드가 30자 그대로인지 확인 6. 이름을 지우고 31자 문자열 붙여넣기, 30자로 잘려 반영되는지 확인 7. [프로젝트 저장] 클릭, 목록에 30자 이름으로 표시 확인",경계값,"온보딩 완료 SPEC-PROJ-01 (이름 1~30자, 하드 캡, 카운터 표시) 확정 상태,","최소(1자), 최대(30자), 초과(31자) 경계 입력과 붙여넣기 초과 입력 시도","1자부터 30자까지 저장 가능하고 카운터가 갱신되며, 초과분은 타이핑과 붙여넣기 모두 무시됨",0자 경계는 UI-13에서 커버 현재 코드 미구현으로 FAIL 예상 결함 등록 후 1차 수정에서 구현 회귀로 재판정,FAIL 예상 (미실행)
TC5,프로젝트 수정,UI-18,프로젝트 수정 - 작업 화면 경로 기본 수정,0. [내 뜨개] 탭 클릭 1. 프로젝트 카드 클릭 (작업 화면 진입) 2. 오른쪽 상단 [수정] 버튼 클릭 3. 프로젝트 수정 시트 표시 확인 4. 프로젝트 이름을 다른 이름으로 변경 5. [변경사항 저장] 버튼 클릭 6. 작업 화면 상단에 변경된 이름 표시 확인 7. 목록으로 돌아가 변경된 이름 표시 확인 8. 프로젝트를 수정했어요 알림 표시 확인,시나리오,프로젝트 1개 존재,작업 화면 수정 폼에서 이름 변경,변경한 이름이 작업 화면과 목록에 반영 프로젝트 수정 알림 표시,,실행 대기
,,UI-19,실 연결된 프로젝트에서 이름만 수정 - 연결 유지 (작업 화면 경로),"0. [내 뜨개] 탭 클릭 1. 실이 연결된 프로젝트 카드 클릭 (작업 화면 진입) 2. 오른쪽 상단 [수정] 버튼 클릭 3. 프로젝트 수정 시트 표시 확인 4. 수정 폼에 연결된 실이 표시되어 있는지 확인 5. 프로젝트 이름만 다른 이름으로 변경 (실 연결은 건드리지 않음) 6. [변경사항 저장] 버튼 클릭 7. 변경된 이름 표시 확인 8. 수정 폼 재진입 오른쪽 상단 [수정] 버튼 클릭 9. 재료에 연결된 실이 그대로 유지되어 있는지 확인 10. [취소] 클릭, [<] 클릭, 목록으로 돌아가 프로젝트 카드의 재료 표시가 유지되는지 확인 11. 프로젝트를 수정했어요 알림 표시 확인",시나리오 상태 전이,"창고에 실 1개 존재, 그 실이 연결된 프로젝트 존재",작업 화면의 수정 폼에서 이름만 변경하고 저장,"이름은 변경되고, 실 연결은 폼 재진입과 목록 카드 양쪽에서 유지",,실행 대기
,,UI-20,프로젝트 롱프레스 클릭 후 수정 버튼 클릭 - 연결 유지,"0. [내 뜨개] 탭 클릭 1. 실이 연결된 프로젝트 카드를 길게 누름 2. 메뉴에서 [수정] 클릭 3. 프로젝트 수정 시트 표시 확인 4. 수정 폼에 연결된 실이 표시되어 있는지 확인 5. 프로젝트 이름만 다른 이름으로 변경 (실 연결은 건드리지 않음) 6. [변경사항 저장] 버튼 클릭 7. 프로젝트를 수정했어요 알림 표시 확인 8. 변경된 이름 표시 확인 9. 롱프레스 [수정]으로 폼 재진입, 연결된 실 유지 확인 10. [취소] 클릭, 목록에서 프로젝트 카드의 재료 표시 유지 확인",시나리오 상태 전이,"창고에 실 1개 존재, 그 실이 연결된 프로젝트 존재",목록 롱프레스의 수정 폼에서 이름만 변경하고 저장,"이름은 변경되고, 실 연결은 폼 재진입과 목록 카드 양쪽에서 유지",,실행 대기
,,UI-21,프로젝트 스와이프 후 수정 - 진입 검증,0. [내 뜨개] 탭 클릭 1. 프로젝트 카드를 왼쪽으로 스와이프 2. [수정] 아이콘 클릭 3. 프로젝트 수정 시트 표시 확인 4. 프로젝트 이름을 다른 이름으로 변경 5. [변경사항 저장] 버튼 클릭 6. 목록에서 변경된 이름 표시 확인,시나리오,프로젝트 1개 존재,스와이프 메뉴의 수정 폼에서 이름 변경하고 저장,"수정 폼이 열리고, 변경한 이름이 목록에 반영",,실행 대기
,,UI-22,프로젝트 수정 - 오손상 방지 (n개 프로젝트),"0. [내 뜨개] 탭 클릭 1. 프로젝트 2개(A, B) 존재 확인 2. A 카드 클릭, 오른쪽 상단 [수정] 클릭 3. A의 이름을 다른 이름으로 변경, [변경사항 저장] 클릭 4. 목록으로 돌아가 A의 변경된 이름 표시 확인 5. B의 이름과 정보가 변하지 않았는지 확인",상태 전이,프로젝트 2개 존재,그중 1개의 이름만 수정,"수정한 것만 바뀌고, 나머지 프로젝트의 이름과 정보는 불변",,실행 대기
,,UI-23,프로젝트 수정 - 취소 분기,"0. [내 뜨개] 탭 클릭, 프로젝트 카드 클릭, [수정] 클릭 1. 이름을 다른 값으로 변경 2. [취소] 클릭 3. 작업 화면과 목록에서 이름이 원래 값 그대로인지 확인 4. 수정 폼 재진입, 입력했던 변경값이 남아있지 않은지 확인",상태 전이,프로젝트 1개 존재,수정 폼에서 변경 입력 후 저장 없이 취소,"변경이 반영되지 않고 원래 값 유지, 재진입 시 폼도 원래 값",,실행 대기
,,UI-24,프로젝트 수정 - 목표일 설정,"0. [내 뜨개] 탭 클릭, 프로젝트 카드 클릭, [수정] 클릭 1. 목표일 설정 (예: 일주일 뒤), [변경사항 저장] 클릭 2. 작업 화면 프로젝트 정보 탭의 일정에 목표일 표시 확인 3. 목록으로 돌아가 프로젝트 카드에 ""목표일까지 D-n"" 표시 확인 4. 앱 완전 종료 후 재실행, 양쪽 표시 유지 확인",시나리오,프로젝트 1개 (목표일 없음),목표일만 설정 후 저장,정보 탭과 목록 카드 양쪽에 목표일이 표시되고 재실행 후 유지,추가 폼도 동일 폼 컴포넌트(코드 확인)라 필드 검증은 수정 경로로 일원화,실행 대기
,,UI-25,목표일 표시 - 경계값 (D-day),"0. [내 뜨개] 탭 클릭, 프로젝트 수정 폼 진입 1. 목표일을 어제로 설정, 저장, 목표일 표시가 D+1 빨간 글씨인지 확인 2. 목표일을 오늘로 변경, 저장, D-day 표시 확인 3. 목표일을 내일로 변경, 저장, D-1 회색 글씨인지 확인",경계값,프로젝트 1개 존재,"목표일을 어제, 오늘, 내일로 차례로 설정","지난 날짜는 D+n 빨간 글씨, 당일은 D-day, 남은 날짜는 D-n 회색 글씨","표시 규칙은 명세 공백, 관찰된 현재 동작(8/23)을 회귀 기준으로 채택",실행 대기
,,UI-26,프로젝트 수정 - 상태 변경,"0. [내 뜨개] 탭 클릭, 프로젝트 카드 클릭, [수정] 클릭 (현재 상태 CO 확인) 1. 상태를 WIP로 변경, 저장, 목록 카드 배지 WIP 확인 2. 같은 방법으로 UFO로 변경, 배지 UFO 확인 3. 다시 WIP로 변경, 배지 WIP 확인 (되돌아가는 전이) 4. FO로 변경, 배지 FO 확인 5. 앱 완전 종료 후 재실행, 최종 상태 FO 유지 확인",상태 전이,프로젝트 1개 존재,CO→WIP→UFO→WIP→FO 순서로 전이,각 단계에서 배지가 즉시 갱신되고 최종 상태가 재실행 후 유지,,실행 대기
,,UI-27,완료 처리 - 홈 집계 반영,"0. [홈] 탭의 진행 중, 완성됨 숫자 기록 1. CO, WIP, UFO, FO 상태의 프로젝트 각 1개 준비 (Given) 2. CO 프로젝트를 FO로 변경, 저장 3. WIP 프로젝트를 FO로 변경, 저장 4. UFO 프로젝트를 FO로 변경, 저장 5. 기존 FO 프로젝트를 CO로 변경, 저장 (완료 해제) 6. [홈] 탭에서 완성됨이 기록값 +3 -1인지, 진행 중이 상태 구성과 맞는지 확인 7. 앱 재실행 후 집계 유지 확인",상태 전이,네 상태의 프로젝트 각 1개 존재,세 상태에서 완성으로 전환하고 기존 완성 하나는 해제,"완성됨 증감(+3, -1)이 정확히 반영되고 재실행 후 유지",,실행 대기
TC6,프로젝트 삭제,UI-28,프로젝트 삭제 - 수정 폼 경로 (취소 분기 포함),"0. [내 뜨개] 탭 클릭 1. 프로젝트 카드 클릭, 오른쪽 상단 [수정] 클릭 2. [삭제] 버튼 클릭 3. ""프로젝트를 삭제할까요?"" 확인창 표시 확인 4. [취소] 클릭 5. [취소] 클릭하여 목록으로 돌아가 프로젝트가 그대로 있는지 확인 (취소가 진짜 취소인지) 6. 다시 프로젝트 카드 클릭, 오른쪽 상단 [수정] 클릭하여 수정 폼 진입 7. [삭제] 클릭, 확인창에서 [삭제] 클릭 8. 목록에서 프로젝트가 사라졌는지 확인 9. 앱 완전 종료 후 재실행 10. 목록에 삭제한 프로젝트가 돌아오지 않았는지 확인",상태 전이,프로젝트 1개 존재,수정 폼의 삭제 버튼으로 삭제 시도 확인창에서 취소하고 그다음 승인,"확인창 표시 취소 시 프로젝트가 그대로 남고, 승인 시 목록에서 제거되며 앱 재실행 후에도 삭제된 프로젝트는 돌아오지 않음",,실행 대기
,,UI-29,프로젝트 삭제 - 롱프레스 경로,"0. [내 뜨개] 탭 클릭 1. 프로젝트 카드 롱프레스 후 [삭제] 버튼 클릭 2. ""프로젝트를 삭제할까요?"" 확인창 표시 확인 3. 확인창에서 [삭제] 클릭 4. 목록에서 프로젝트가 사라졌는지 확인",상태 전이,프로젝트 1개 존재,롱프레스 메뉴에서 삭제하고 확인창 승인,"확인창 표시, 프로젝트가 목록에서 제거",,실행 대기
,,UI-30,프로젝트 삭제 - 스와이프 경로,"0. [내 뜨개] 탭 클릭 1. 프로젝트 카드를 왼쪽으로 스와이프 2. [삭제] 아이콘 클릭 3. ""프로젝트를 삭제할까요?"" 확인창 표시 확인 4. 확인창에서 [삭제] 클릭 5. 목록에서 프로젝트가 사라졌는지 확인",상태 전이,프로젝트 1개 존재,스와이프 메뉴에서 삭제하고 확인창 승인,"확인창 표시, 프로젝트가 목록에서 제거",,실행 대기
,,UI-31,프로젝트 삭제 - 연속 삭제와 격리 (3개 중 2개),"0. [내 뜨개] 탭 클릭 1. 프로젝트 3개(A, B, C) 존재 확인 2. A 카드 롱프레스 후 [삭제] 클릭, 확인창에서 [삭제] 클릭 3. B 카드 롱프레스 후 [삭제] 클릭, 확인창에서 [삭제] 클릭 4. 목록에 C만 남았는지 확인 5. 앱 완전 종료 후 재실행 6. 목록에 C만 있고 A, B가 돌아오지 않았는지 확인",상태 전이,프로젝트 3개 존재,2개 프로젝트를 연달아 삭제 (확인창 승인),삭제한 2개만 사라지고 남은 1개는 앱 재실행 후에도 유지,,실행 대기
TC7,프로젝트 개수 한계,UI-32,프로젝트 개수 한계 - 대량 생성 탐색 (30개),"0. [내 뜨개] 탭 클릭 1. 생성 전 목록 맨 위 ""나의 뜨개"" 아래 개수 표시 확인 (기존 개수 기록) 2. Appium 시딩 스크립트로 프로젝트 30개 연속 생성 3. 생성 중 거부나 오류가 없는지, 개당 생성 시간이 일정한지 확인 (스크립트 로그) 4. 목록을 최상단부터 최하단까지 왕복 스크롤, 카드가 전부 그려지는지 확인 5. [내 뜨개] 개수 표시가 기존 개수 + 30과 일치하는지 확인 6. [홈] 탭의 전체 프로젝트 카드가 같은 숫자인지 확인 7. 앱 완전 종료 후 재실행, 두 화면의 개수가 동일하게 유지되는지 확인",경계값 탐색,온보딩 완료 (기존 프로젝트 소수 존재),30개를 연속 생성한 뒤 목록을 탐색,"상한 없이 전부 생성되고, 내 뜨개와 홈 두 화면의 개수 표시가 서로 일치하며 재실행 후에도 유지","개수 상한 명세 없음 (명세 공백). 시딩은 Appium 스크립트(count_seed.py) 30개 실측 개당 5.6~7.0초로 열화 없음. 1000건 탐색(8/23): 저장 파일 직접 주입, 앱 실행과 홈 집계 1033 정상, 성능 판정 기준 부재로 케이스 제외",PASS (8/23)
TC8,프로젝트 정렬과 필터,UI-33,정렬 - 최근 작업 순 반영 (DEF-17 회귀),"0. [내 뜨개] 탭 클릭 1. 목록 맨 아래 프로젝트(A) 확인 후 카드 클릭 2. 뜨는 중 탭의 작업 시간 섹션에서 [작업 시작] 클릭 3. 10초 이상 유지 후 [작업 종료] 클릭 4. 목록으로 복귀, A가 목록 상단으로 이동했는지 확인 (즐겨찾기 항목 제외 기준) 5. A 카드의 최근 작업 표시가 ""없음""이 아닌지 확인 6. 앱 완전 종료 후 재실행, 순서와 표시가 유지되는지 확인",상태 전이 회귀,"프로젝트 2개 이상 존재, 대상 프로젝트는 작업 이력 없음",목록 하단 프로젝트에서 10초 이상 작업 세션을 기록,해당 프로젝트가 목록 상단으로 이동하고 최근 작업 표시가 갱신되며 앱 재실행 후에도 유지,"현재 DEF-17로 FAIL 예상, 1차 수정 후 회귀로 재판정. 10초 미만 세션은 작업으로 인정되지 않음. 즐겨찾기 우선 축은 TC9(UI-37)에서 검증",FAIL 예상 (미실행)
,,UI-34,정렬 - 작업 이력 없을 때 시작일 내림차순,"0. [내 뜨개] 탭 클릭 1. 작업 이력 없는 프로젝트를 서로 다른 시각에 3개 생성 (A → B → C 순) 2. 목록에서 C, B, A 순(나중 생성이 위)인지 확인",시나리오,즐겨찾기와 작업 이력이 없는 프로젝트만 존재,생성 순서가 다른 3개를 만든 뒤 목록 확인,시작일 내림차순(최신 생성이 위)으로 정렬,8/23 30개 시딩에서 동일 규칙 실측 확인,실행 대기
,,UI-35,정렬 - 복수 작업 이력 간 상대 순서,"0. [내 뜨개] 탭 클릭 1. 프로젝트 A에서 10초 이상 작업 세션 기록 후 목록 복귀 2. 프로젝트 B에서 10초 이상 작업 세션 기록 후 목록 복귀 3. B가 A보다 위인지 확인 4. 다시 A에서 세션 기록, A가 B보다 위로 오는지 확인",상태 전이,"작업 이력 없는 프로젝트 2개(A, B) 존재","A, B 순서로 작업 후 다시 A 작업",항상 마지막에 작업한 쪽이 위,"현재 DEF-17로 FAIL 예상, UI-33과 같은 뿌리. 수정 후 회귀로 재판정",FAIL 예상 (미실행)
,,UI-36,필터 - 상태별 표시,"0. [내 뜨개] 탭 클릭 1. 상태 칩 중 하나 선택, 해당 상태의 프로젝트만 표시되는지 확인 2. 다른 상태 칩 선택, 표시가 바뀌는지 확인 3. [전체] 칩 선택, 모든 프로젝트가 돌아오는지 확인 4. 필터 상태에서 상단 개수 표시가 어떤 값인지 관찰 (전체 수인지 필터된 수인지)",시나리오,서로 다른 상태의 프로젝트 2개 이상,상태 칩을 차례로 전환,"각 칩에서 해당 상태만 표시, 전체 선택 시 전부 복귀","개수 표시는 코드상 항상 전체 수라 필터 중 어긋남 예상, 명세 공백 관찰",실행 대기
TC9,프로젝트 즐겨찾기,UI-37,즐겨찾기 - 토글과 상단 고정,"0. [내 뜨개] 탭 클릭 1. 목록 중간 아래쪽 프로젝트(A) 카드 클릭, 오른쪽 상단 [수정] 클릭 2. 즐겨찾기 토글을 켜고 [변경사항 저장] 클릭 3. 목록에서 A 카드의 별이 채워졌는지 확인 4. A가 목록 최상단(즐겨찾기 그룹)으로 이동했는지 확인 5. 앱 완전 종료 후 재실행, 별 표시와 순서가 유지되는지 확인 6. 다시 수정 폼에서 토글을 끄고 저장 7. 별이 비워지고 원래 정렬 위치로 돌아가는지 확인",상태 전이,"프로젝트 여러 개 존재, 대상 프로젝트는 즐겨찾기 아님","수정 폼에서 즐겨찾기를 켜고 저장, 확인 후 다시 끄고 저장","켜면 별 표시와 함께 목록 최상단 고정, 재실행 후에도 유지, 끄면 원래 위치로 복귀","별 아이콘은 표시 전용, 토글 입구는 수정 폼 단일 (UX 관찰)",PASS (8/23)
,,UI-38,즐겨찾기 - 그룹 내 정렬 (최근 작업 순),"0. [내 뜨개] 탭 클릭 1. 프로젝트 2개(A, B)를 각각 즐겨찾기로 설정 2. A에서 10초 이상 작업 세션 기록 후 목록 복귀 3. 즐겨찾기 그룹 안에서 A가 B보다 위인지 확인 4. B에서 10초 이상 작업 세션 기록 후 목록 복귀 5. B가 A보다 위로 오는지 확인",상태 전이 회귀,"즐겨찾기 프로젝트 2개(A, B) 존재, 둘 다 작업 이력 없음",두 즐겨찾기에 번갈아 작업 세션을 기록,즐겨찾기 그룹 안에서도 마지막에 작업한 쪽이 위,"현재 DEF-17로 FAIL 예상, UI-33과 같은 뿌리. 수정 후 회귀로 재판정",FAIL 예상 (미실행)
TC10,프로젝트 작업 화면,UI-39,작업 화면 진입 여정 (DEF-15 자동화 경로),"0. [내 뜨개] 탭 클릭 1. 상단 [+] 버튼으로 고유 이름 프로젝트 생성 2. 목록에서 생성한 프로젝트 카드 클릭 3. 작업 화면 표시 확인 4. 카운터 시트 열기 5. 카운터 값 ""시작 전"" 표시 확인",시나리오 회귀,온보딩 완료 로컬 모드,프로젝트 생성 후 작업 화면 진입 카운터 시트 열기,"각 지점이 순서대로 열리고 초기값 ""시작 전""","Appium(def15_test.py), XCUITest 양쪽 구현 완료, CI 게이트 포함",자동화 완료
,,UI-40,도안 연결 - PDF 직접 추가 (창고 보관 안함),"0. [내 뜨개] 탭 클릭, 도안 없는 프로젝트 카드 클릭 1. 뜨는 중 탭 도안 영역의 ""도안이 비어 있어요."" 표시 확인 2. 오른쪽 위 [⋯] 메뉴 클릭, [PDF 직접 추가] 클릭 3. 파일 선택기에서 PDF 선택 4. ""도안 창고에 보관할까요?"" 확인창 표시 확인 5. [프로젝트에만 연결] 선택 6. 도안이 화면에 표시되는지 확인 7. 창고 탭의 도안 목록에 이 도안이 없는지 확인",시나리오,도안 없는 프로젝트,PDF를 연결하며 프로젝트에만 연결 선택,도안이 표시되고 창고에는 생성되지 않음,시스템 UI 수동 실행,PASS (8/23)
,,UI-41,도안 연결 - PDF 직접 추가 (창고 보관),"0. 도안 없는 프로젝트의 작업 화면 진입 1. 도안 영역 [⋯] 메뉴, [PDF 직접 추가] 클릭, PDF 선택 2. ""도안 창고에 보관할까요?"" 확인창 표시 확인 3. [도안창고에 보관하고 연결] 선택 4. 도안이 화면에 표시되는지 확인 5. 창고 탭의 도안 목록에 같은 도안이 등록됐는지 확인",시나리오,도안 없는 프로젝트,PDF 연결하며 창고 보관 선택,프로젝트 연결과 창고 원본 등록이 둘 다 생김,시스템 UI(파일 선택기) 수동 실행. 창고 원본과 프로젝트 복사본의 관계는 DEF-13 계열 관찰 지점,PASS (8/23)
,,UI-42,도안 연결 - 문서 스캔 (카메라),"0. 도안 없는 프로젝트의 작업 화면 진입 1. 도안 영역 [⋯] 메뉴, [문서 스캔] 클릭 2. 카메라로 문서 촬영 후 저장 3. ""도안 창고에 보관할까요?"" 확인창 표시 확인 4. [프로젝트에만 연결] 선택 5. 스캔본이 도안으로 표시되는지 확인",시나리오,도안 없는 프로젝트,"카메라 스캔으로 등록, 프로젝트에만 연결 선택",스캔본이 도안으로 연결됨,시스템 UI(카메라) 수동 실행,실기기 수동 대기
